text,true_label,pred_label,confidence
"What exercise?? To get into using a compound bow again ,could anyone suggest an exercise suitable??",sports,education & reference,0.284675211
"For thoes of you that don't smoke marijuana, whould you if it were legal? ",society & culture,education & reference,0.298406303
"girls fight over me all the time,and i always end up with the ugly 1's? how do end up with the babes??please help me,iv had enough mutt to last a life time....and i dont have any beer goggles",family & relationships,family & relationships,0.620628119
what is internet? abcd,computers & internet,computers & internet,0.248496607
Why is gym a must class in high school to be able to graduate? You have to take gym all the four years while you are in high school why is that?,education & reference,education & reference,0.367245138
What's the fastest way to lose weight? Im going traveling all over Europe in summer. I want to have a good body for swimming and clothes but also for my confidence! Help!,health,sports,0.276052326
is their anyway to inc rise the height ? i am the 20 yrs guy i want to incrise the height  now my height is only 5 ft,health,health,0.363924772
what is the only different between the two legs of a girl? ,family & relationships,family & relationships,0.177835301
"Why only one side of the Moon is seen? Please think LOGICALLY and make some simple mathematical calculations before you answer; and  consider that if the Moon really rotates, all its sides should be seen on a regular basis, as well as different sides of the Moon should be seen from different parts of the Earth and throughout the different seasons and hours of the day. OH i for sure know the common explanation that the Moon rotates the same speed as it orbits the Earth but such a coinscidence is about 1:10.000.000 to happen assuming that there are millions of planets and satellites in our Universe, and they each have their own unique speed. Very, very strange indeed.",science & mathematics,science & mathematics,0.671282709
which is the best book to learn vc++.net? ,computers & internet,education & reference,0.419560403
We dont use condoms is this safe? Me and my fiance have been together for 2 years and are living together. We have both had STD tests and have recently stopped using cnodoms (I am on the pill so i wont get pg). Do you think i am safe considering we had the tests? Please advise.,health,health,0.651596427
"Whats up with the Dallas kicker, Mike Vanderjagt, I thought he was the MOST accurate kicker in the league? To me looks like maybe another T.O.\n\nOver hyped?",sports,sports,0.792520821
how do you take a picture off your computer and put it on something like myspace? ,computers & internet,computers & internet,0.748734355
"charactristic equation in linear algebra? if i have the matrix         A=  \n 2   -1   -1 \n-1    2   -1\n-1   -1    2\n\nthen how can i found the charactristic equation of A, becouse each time i found diffrenet answer",science & mathematics,science & mathematics,0.576448381
"Where does the phrase ""the skinny"" really come from? from - http://www.etymonline.com/index.php:\n\nskinny (adj.)  \n1573, ""resembling skin,"" from skin (n.). Meaning ""emaciated"" is recorded from 1605. In the sense of ""the truth"" it is World War II military slang, perhaps from the notion of the ""naked"" truth. Skinny-dip first recorded 1950s.",education & reference,education & reference,0.304024041
What is this? The last two days a bunch of red dots have showed up on my hands.  They kinda look like ant and flea bites but I know there not.  There only on my hands and they itch really bad could anyone tell me what is wrong and what I could do about it?  I'm going to the doctor tomorrow.,health,health,0.443361074
"The elusive orgasm. . .Serious Answers ONLY!? I have been with my fiance for about 3 years, and I love him so much! He is a fantastic lover, very sensitive and caring, but I have trouble reaching climax with out a vibrator on my cli*oris.  Supposedly 70% of women have this problem, so I know there are some of you out there! Please let me know what you can do to enjoy it a little more and possibly climax more often with OUT the use of toys (kinda kills the mood).",family & relationships,family & relationships,0.412824929
"where can i purchase a book about music notes, the industry, and tips and pointers to make beats and recording tips and tricks on how to make sound quality beats, how to use mixers and recorders, music notes?  Wat's points mean in the music industry, wat's royalty in the music business mean?",entertainment & music,entertainment & music,0.550186872
How much animosity do you believe the average Christian has for people of other faiths like Wicca? The bible states that witchcraft is a sin.  Do you think that most Christians believe that Wiccans and other witchcraft groups could poison young people to leave the church?,society & culture,education & reference,0.284916669
what is the zip coad for san antonio? ,business & finance,education & reference,0.173451319
I have four brother and they drive me CRAZY!!!!!!!! Dose anyone have this problom? Ok well I have my brothers and they drive me up a wall! One thinks he's funny and he talks about stupid thing like falling in the tolet! and another one is 4 and he yoldels! and then ........ well one is 3 and he's still cute but then one is 14 and he thinks he's the perfet child he!!!!!!!! Ok I better stop talking before I kill my coputer! Dose anyone have this simeler problem?,business & finance,family & relationships,0.494686872
What is Science? Is Science a Boon or a Curse? I am sumeet .\nYOU are.......\nI m in india.\nyou are in......\nI will be sending you emails.\nI want to earn points.\nemail me your likes and dislikes .\nAnswer my question and we will be best friends.\nsee you.....,science & mathematics,education & reference,0.420490682
How do pharmacists use math? please give details,education & reference,science & mathematics,0.501766562
"what is a square, and what square objects do we have in our lifes besides t.v? ",science & mathematics,education & reference,0.282104433
im wanting to know the safest and most trusted web site to go to for free screen savers? ,business & finance,computers & internet,0.584602416
Have you ever....? Kept three cell phones in service at once??,entertainment & music,society & culture,0.283019394
"What's the name of a website where people can rate local service businesses? I heard an ad on NPR for a website which allows you to rate local service businesses (mechanics, drycleaners, plumbers, etc).  The name was [woman's name]slist.org or .com  kind of like craigslist.org.  I can't remember it.  Do you know this website?  It's not emilyslist.org... but something similar.",computers & internet,society & culture,0.244755432
I am in a pro pickem private league but for some reason it will not let me log in? ,sports,sports,0.919097662
"I need Help with Powerpoint..? ok..in my book it says ""Click Slide 1. Click view and chose Master on the menu and slide master on the submenu. Select the master slide called IP2.2 Slide Master. (The IP2.2 is the file provided by the instructor, but I dont know how to select it from the slide master thing) then it tells me to insert picture and stuff and i did that...after that it says Close Master View on the Master toolbar. Scroll through the presentation to see that the picture appears on all slides except for the first and last slides. (this is where I have the problem, the picture appears on every slide except the first slide) Please help if you can.",computers & internet,education & reference,0.192570567
why is it that everyone at school hates me because i'm overweight? i mean everyone around me weighs about 115 and i weigh 145lbs. this really sucks they don't even talk to me...,health,health,0.267009348
Who had the best Entrance music? Who has the best entracne music in the wwe?,sports,entertainment & music,0.81047076
"on web-matchmaker? You saw someone so cute, would you believe that it is his own picture?",family & relationships,computers & internet,0.694409132
